,Player,Team,Event,Vs Who,Date,Group / Bracket,Series ID,Result,Kills,Death,K/D,Plus / Minus,HP Kills,HP Death,HP K/D,HP Plus / Minus,Avg Hill Time,SnD Kills,SnD Death,SnD K/D,SnD Plus / Minus,OpDuel Won,OpDuel Lost,OpDuel W%,KpR,DpR,DOM Kills,DOM Death,DOM K/D,DOM Plus / Minus,,
,Arcitys,CHI,LW,DAL,1/24,G,#00001,W,106,72,1.47,34,72,42,1.71,30,-,2,6,0.33,-4,1,1,50.00%,0.29,0.86,32,24,1.33,8,#1,
,Formal,CHI,LW,DAL,1/24,G,#00001,W,101,75,1.35,26,61,49,1.24,12,-,4,7,0.57,-3,1,1,50.00%,0.57,1.00,36,19,1.89,17,#2,
OVERALL,Gunless,CHI,LW,DAL,1/24,G,#00001,W,95,82,1.16,13,56,57,0.98,-1,-,1,7,0.14,-6,0,1,0.00%,0.14,1.00,38,18,2.11,20,#3,
,Envoy,CHI,LW,DAL,1/24,G,#00001,W,78,91,0.86,-13,46,61,0.75,-15,-,4,5,0.80,-1,0,1,0.00%,0.57,0.71,28,25,1.12,3,#4,
,Scump,CHI,LW,DAL,1/24,G,#00001,W,96,92,1.04,4,65,63,1.03,2,-,7,5,1.40,2,0,1,0.00%,1.00,0.71,24,24,1.00,0,#5,
,Crimsix,DAL,LW,CHI,1/24,G,#00001,L,94,93,1.01,1,65,57,1.14,8,-,7,3,2.33,4,0,1,0.00%,1.00,0.43,22,33,0.67,-11,#6,
,Clayster,DAL,LW,CHI,1/24,G,#00001,L,82,99,0.83,-17,53,64,0.83,-11,-,5,3,1.67,2,2,1,66.66%,0.71,0.43,24,32,0.75,-8,#7,
,iLLey,DAL,LW,CHI,1/24,G,#00001,L,79,97,0.81,-18,50,61,0.82,-11,-,4,5,0.80,-1,1,0,100.00%,0.57,0.71,25,31,0.81,-6,#8,
,Huke,DAL,LW,CHI,1/24,G,#00001,L,92,94,0.98,-2,56,61,0.92,-5,-,9,5,1.80,4,1,0,100.00%,1.29,0.71,27,28,0.96,-1,#9,
,Shotzzy,DAL,LW,CHI,1/24,G,#00001,L,67,89,0.75,-22,50,53,0.94,-3,-,5,2,2.50,3,1,0,100.00%,0.71,0.29,12,34,0.35,-22,#10,
,Octane,SEA,LW,FL,1/24,G,#00002,L,86,79,1.09,7,47,44,1.07,3,110.0,5,14,0.36,-9,2,3,40.00%,0.33,0.93,34,21,1.62,13,#11,
,Karma,SEA,LW,FL,1/24,G,#00002,L,90,80,1.13,10,55,45,1.22,10,47.0,12,15,0.80,-3,4,0,100.00%,0.80,1.00,23,20,1.15,3,#12,
,Slacked,SEA,LW,FL,1/24,G,#00002,L,67,83,0.81,-16,41,50,0.82,-9,53.5,11,14,0.79,-3,2,0,100.00%,0.73,0.93,15,19,0.79,-4,#13,
,Apathy,SEA,LW,FL,1/24,G,#00002,L,90,82,1.10,8,54,48,1.13,6,36.5,9,12,0.75,-3,1,1,50.00%,0.60,0.80,27,22,1.23,5,#14,
,Enable,SEA,LW,FL,1/24,G,#00002,L,95,88,1.08,7,60,53,1.13,7,52.0,8,12,0.67,-4,2,0,100.00%,0.53,0.80,27,23,1.17,4,#15,
,Maux,FL,LW,SEA,1/24,G,#00002,W,76,69,1.10,7,43,40,1.08,3,78.0,10,7,1.43,3,2,1,66.67%,0.67,0.47,23,22,1.05,1,#16,
,Skyz,FL,LW,SEA,1/24,G,#00002,W,91,86,1.06,5,53,50,1.06,3,63.5,16,10,1.60,6,0,2,0.00%,1.07,0.67,22,26,0.85,-4,#17,
,Frosty,FL,LW,SEA,1/24,G,#00002,W,74,93,0.80,-19,46,57,0.81,-11,28.0,9,13,0.69,-4,0,4,0.00%,0.60,0.87,19,23,0.83,-4,#18,
,Havok,FL,LW,SEA,1/24,G,#00002,W,82,80,1.03,2,44,47,0.94,-3,54.0,17,7,2.43,10,2,1,66.67%,1.13,0.47,21,26,0.81,-5,#19,
,Prestinni,FL,LW,SEA,1/24,G,#00002,W,89,100,0.89,-11,54,63,0.86,-9,28.0,15,8,1.88,7,0,3,0.00%,1.00,0.53,20,29,0.69,-9,#20,
,AquA,LAG,LW,MIN,1/24,G,#00003,L,79,77,1.03,2,48,44,1.09,4,-,4,6,0.67,-2,0,2,0.00%,0.44,0.67,27,27,1.00,0,#21,
,ACHES,LAG,LW,MIN,1/24,G,#00003,L,65,100,0.65,-35,40,59,0.68,-19,-,5,6,0.83,-1,0,1,0.00%,0.56,0.67,20,35,0.57,-15,#22,
,Lacefield,LAG,LW,MIN,1/24,G,#00003,L,76,80,0.95,-4,41,49,0.84,-8,-,8,6,1.33,2,2,1,66.67%,0.89,0.67,27,25,1.08,2,#23,
,Decemate,LAG,LW,MIN,1/24,G,#00003,L,78,85,0.92,-7,37,56,0.66,-19,-,9,4,2.25,5,0,0,,1.00,0.44,32,25,1.28,7,#24,
,Saints,LAG,LW,MIN,1/24,G,#00003,L,80,87,0.92,-7,53,49,1.08,4,-,8,7,1.14,1,2,1,66.67%,0.89,0.78,19,31,0.61,-12,#25,
,Assault,MIN,LW,LAG,1/24,G,#00003,W,98,65,1.51,33,56,40,1.40,16,-,10,6,1.67,4,0,0,,1.11,0.67,32,19,1.68,13,#26,
,SiLLY,MIN,LW,LAG,1/24,G,#00003,W,79,84,0.94,-5,48,49,0.98,-1,-,4,8,0.50,-4,1,1,50.00%,0.44,0.89,27,27,1.00,0,#27,
,GodRx,MIN,LW,LAG,1/24,G,#00003,W,97,78,1.24,19,57,48,1.19,9,-,10,6,1.67,4,4,0,100.00%,1.11,0.67,30,24,1.25,6,#28,
,Alexx,MIN,LW,LAG,1/24,G,#00003,W,77,73,1.05,4,49,37,1.32,12,-,2,7,0.29,-5,0,1,0.00%,0.22,0.78,26,29,0.90,-3,#29,
,Asim,MIN,LW,LAG,1/24,G,#00003,W,77,78,0.99,-1,47,45,1.04,2,-,3,7,0.43,-4,0,2,0.00%,0.33,0.78,27,26,1.04,1,#30,
,wuskin,LON,LW,NY,1/25,G,#00004,W,69,33,2.09,36,26,16,1.63,10,70.0,11,3,3.67,8,3,0,100.00%,1.38,0.38,32,14,2.29,18,#31,
,Rated,LON,LW,NY,1/25,G,#00004,W,50,45,1.11,5,23,20,1.15,3,48.0,3,5,0.60,-2,0,1,0.00%,0.38,0.63,24,20,1.20,4,#32,
,Skrapz,LON,LW,NY,1/25,G,#00004,W,53,50,1.06,3,28,23,1.22,5,51.0,3,5,0.60,-2,0,1,0.00%,0.38,0.63,22,22,1.00,0,#33,
,Dylan,LON,LW,NY,1/25,G,#00004,W,63,55,1.15,8,24,21,1.14,3,53.0,8,6,1.33,2,1,2,33.33%,1.00,0.75,31,28,1.11,3,#34,
,Jurd,LON,LW,NY,1/25,G,#00004,W,55,50,1.10,5,21,25,0.84,-4,33.0,7,6,1.17,1,0,0,,0.88,0.75,27,19,1.42,8,#35,
,Accuracy,NY,LW,LON,1/25,G,#00004,L,32,55,0.58,-23,15,21,0.71,-6,53.0,1,7,0.14,-6,0,2,0.00%,0.13,0.88,16,27,0.59,-11,#36,
,Zer0,NY,LW,LON,1/25,G,#00004,L,44,55,0.80,-11,24,25,0.96,-1,21.0,2,6,0.33,-4,1,0,100.00%,0.25,0.75,18,24,0.75,-6,#37,
,Attach,NY,LW,LON,1/25,G,#00004,L,51,58,0.88,-7,26,21,1.24,5,28.0,4,6,0.67,-2,0,1,0.00%,0.50,0.75,21,31,0.68,-10,#38,
,Temp,NY,LW,LON,1/25,G,#00004,L,44,60,0.73,-16,15,28,0.54,-13,34.0,6,6,1.00,0,0,1,0.00%,0.75,0.75,23,26,0.88,-3,#39,
,ZooMaa,NY,LW,LON,1/25,G,#00004,L,62,62,1.00,0,25,27,0.93,-2,21.0,12,7,1.71,5,3,0,100.00%,1.50,0.88,25,28,0.89,-3,#40,
,Methodz,TOR,LW,SEA,1/25,G,#00005,W,101,78,1.29,23,59,47,1.26,12,59.0,17,12,1.42,5,1,0,100.00%,0.89,0.63,25,19,1.32,6,#41,
,Cammy,TOR,LW,SEA,1/25,G,#00005,W,90,99,0.91,-9,46,60,0.77,-14,21.0,13,13,1.00,0,1,4,20.00%,0.68,0.68,31,26,1.19,5,#42,
,MeTTalZz,TOR,LW,SEA,1/25,G,#00005,W,92,94,0.98,-2,55,56,0.98,-1,50.0,17,15,1.13,2,3,3,50.00%,0.89,0.79,20,23,0.87,-3,#43,
,Loony,TOR,LW,SEA,1/25,G,#00005,W,79,81,0.98,-2,51,43,1.19,8,68.0,11,14,0.79,-3,0,1,0.00%,0.58,0.74,17,24,0.71,-7,#44,
,Classic,TOR,LW,SEA,1/25,G,#00005,W,98,104,0.94,-6,54,63,0.86,-9,39.0,15,15,1.00,0,3,3,50.00%,0.79,0.79,29,26,1.12,3,#45,
,Octane,SEA,LW,TOR,1/25,G,#00005,L,104,87,1.20,17,54,47,1.15,7,101.5,22,15,1.47,7,2,0,100.00%,1.16,0.79,28,25,1.12,3,#46,
,Karma,SEA,LW,TOR,1/25,G,#00005,L,89,94,0.95,-5,51,56,0.91,-5,77.0,14,14,1.00,0,1,2,33.33%,0.74,0.74,24,24,1.00,0,#47,
,Slacked,SEA,LW,TOR,1/25,G,#00005,L,92,92,1.00,0,58,53,1.09,5,40.5,8,16,0.50,-8,4,0,100.00%,0.42,0.84,26,23,1.13,3,#48,
,Apathy,SEA,LW,TOR,1/25,G,#00005,L,93,86,1.08,7,53,51,1.04,2,32.0,18,12,1.50,6,4,3,57.14%,0.95,0.63,22,23,0.96,-1,#49,
,Enable,SEA,LW,TOR,1/25,G,#00005,L,74,101,0.73,-27,49,58,0.84,-9,19.0,7,16,0.44,-9,0,3,0.00%,0.37,0.84,18,27,0.67,-9,#50,
,AquA,LAG,LW,FL,1/25,G,#00006,W,91,81,1.12,10,47,51,0.92,-4,62.0,14,12,1.17,2,2,1,66.67%,0.70,0.60,30,18,1.67,12,#51,
,ACHES,LAG,LW,FL,1/25,G,#00006,W,85,121,0.70,-36,42,73,0.58,-31,43.0,7,17,0.41,-10,2,3,40.00%,0.35,0.85,36,31,1.16,5,#52,
,Lacefield,LAG,LW,FL,1/25,G,#00006,W,102,93,1.10,9,61,51,1.20,10,10.5,16,14,1.14,2,1,1,50.00%,0.80,0.70,25,28,0.89,-3,#53,
,Decemate,LAG,LW,FL,1/25,G,#00006,W,90,100,0.90,-10,49,61,0.80,-12,51.5,18,14,1.29,4,3,2,60.00%,0.90,0.70,23,25,0.92,-2,#54,
,Saints,LAG,LW,FL,1/25,G,#00006,W,99,108,0.92,-9,54,65,0.83,-11,22.0,21,16,1.31,5,4,2,66.67%,1.05,0.80,24,27,0.89,-3,#55,
,Maux,FL,LW,LAG,1/25,G,#00006,L,95,78,1.22,17,54,39,1.38,15,85.5,17,14,1.21,3,3,0,100.00%,0.85,0.70,24,25,0.96,-1,#56,
,Skyz,FL,LW,LAG,1/25,G,#00006,L,110,88,1.25,22,64,45,1.42,19,112.0,21,17,1.24,4,3,4,42.86%,1.05,0.85,25,26,0.96,-1,#57,
,Frosty,FL,LW,LAG,1/25,G,#00006,L,104,101,1.03,3,64,54,1.19,10,31.5,20,16,1.25,4,2,0,100.00%,1.00,0.80,20,31,0.65,-11,#58,
,Havok,FL,LW,LAG,1/25,G,#00006,L,90,100,0.90,-10,60,57,1.05,3,54.0,6,15,0.40,-9,1,3,25.00%,0.30,0.75,24,28,0.86,-4,#59,
,Prestinni,FL,LW,LAG,1/25,G,#00006,L,104,101,1.03,3,59,59,1.00,0,38.5,9,14,0.64,-5,0,5,0.00%,0.45,0.70,36,28,1.29,8,#60,
,Slasher,OGLA,LW,PAR,1/25,G,#00007,L,77,95,0.81,-18,47,54,0.87,-7,34.0,14,14,1.00,0,2,0,100.00%,0.88,0.88,16,27,0.59,-11,#61,
,Dashy,OGLA,LW,PAR,1/25,G,#00007,L,95,87,1.09,8,58,52,1.12,6,74.0,14,12,1.17,2,3,1,75.00%,0.88,0.75,23,23,1.00,0,#62,
,JKap,OGLA,LW,PAR,1/25,G,#00007,L,75,96,0.78,-21,41,57,0.72,-16,43.5,13,11,1.18,2,0,3,0.00%,0.81,0.69,21,28,0.75,-7,#63,
,Kenny,OGLA,LW,PAR,1/25,G,#00007,L,89,85,1.05,4,54,48,1.13,6,66.5,8,12,0.67,-4,2,2,50.00%,0.50,0.75,27,25,1.08,2,#64,
,TJHaly,OGLA,LW,PAR,1/25,G,#00007,L,87,103,0.84,-16,57,67,0.85,-10,49.5,8,12,0.67,-4,0,3,0.00%,0.50,0.75,22,24,0.92,-2,#65,
,Denz,PAR,LW,OGLA,1/25,G,#00007,W,94,76,1.24,18,60,44,1.36,16,66.0,10,12,0.83,-2,2,1,66.67%,0.63,0.75,24,20,1.20,4,#66,
,Shockz,PAR,LW,OGLA,1/25,G,#00007,W,99,82,1.21,17,64,49,1.31,15,40.5,9,11,0.82,-2,2,1,66.67%,0.56,0.69,26,22,1.18,4,#67,
,Louqa,PAR,LW,OGLA,1/25,G,#00007,W,75,81,0.93,-6,43,47,0.91,-4,49.5,10,12,0.83,-2,1,3,25.00%,0.63,0.75,22,22,1.00,0,#68,
,KiSMET,PAR,LW,OGLA,1/25,G,#00007,W,111,94,1.18,17,60,62,0.97,-2,68.0,18,10,1.80,8,3,1,75.00%,1.13,0.63,33,22,1.50,11,#69,
,Zed,PAR,LW,OGLA,1/25,G,#00007,W,91,95,0.96,-4,51,56,0.91,-5,70.5,14,14,1.00,0,1,1,50.00%,0.88,0.88,26,25,1.04,1,#70,
,Crimsix,DAL,LW,ATL,1/25,G,#00008,L,60,67,0.90,-7,37,34,1.09,3,36.0,4,6,0.67,-2,0,1,0.00%,0.67,1.00,19,27,0.70,-8,#71,
,Clayster,DAL,LW,ATL,1/25,G,#00008,L,56,68,0.82,-12,30,37,0.81,-7,83.0,1,6,0.17,-5,0,1,0.00%,0.17,1.00,25,25,1.00,0,#72,
,iLLey,DAL,LW,ATL,1/25,G,#00008,L,61,67,0.91,-6,25,35,0.71,-10,38.0,2,6,0.33,-4,0,2,0.00%,0.33,1.00,34,26,1.31,8,#73,
,Huke,DAL,LW,ATL,1/25,G,#00008,L,51,64,0.80,-13,37,32,1.16,5,54.0,2,6,0.33,-4,0,2,0.00%,0.33,1.00,12,26,0.46,-14,#74,
,Shotzzy,DAL,LW,ATL,1/25,G,#00008,L,45,72,0.63,-27,20,36,0.56,-16,45.0,3,6,0.50,-3,0,0,,0.50,1.00,22,30,0.73,-8,#75,
,Cellium,ATL,LW,DAL,43855,G,#00008,W,65,56,1.16,9,33,29,1.14,4,73.0,6,2,3.00,4,1,0,100.00%,1.00,0.33,26,25,1.04,1,#76,
,MajorManiak,ATL,LW,DAL,43855,G,#00008,W,49,44,1.11,5,30,28,1.07,2,34.0,6,1,6.00,5,1,0,100.00%,1.00,0.17,13,15,0.87,-2,#77,
,Priestahh,ATL,LW,DAL,43855,G,#00008,W,71,58,1.22,13,38,28,1.36,10,34.0,6,4,1.50,2,2,0,100.00%,1.00,0.67,27,26,1.04,1,#78,
,aBeZy,ATL,LW,DAL,43855,G,#00008,W,67,64,1.05,3,33,36,0.92,-3,29.0,5,4,1.25,1,1,0,100.00%,0.83,0.67,29,24,1.21,5,#79,
,Simp,ATL,LW,DAL,43855,G,#00008,W,86,51,1.69,35,40,28,1.43,12,19.0,7,1,7.00,6,1,0,100.00%,1.17,0.17,39,22,1.77,17,#80,
,Denz,PAR,LW,LON,1/26,G,#00009,W,49,45,1.09,4,26,18,1.44,8,134.0,7,6,1.17,1,2,0,100.00%,0.70,0.60,16,21,0.76,-5,#81,
,Shockz,PAR,LW,LON,1/26,G,#00009,W,54,52,1.04,2,22,23,0.96,-1,21.0,7,7,1.00,0,2,1,66.67%,0.70,0.70,25,22,1.14,3,#82,
,Louqa,PAR,LW,LON,1/26,G,#00009,W,56,52,1.08,4,23,20,1.15,3,89.0,10,8,1.25,2,1,0,100.00%,1.00,0.80,23,24,0.96,-1,#83,
,KiSMET,PAR,LW,LON,1/26,G,#00009,W,65,61,1.07,4,32,26,1.23,6,26.0,8,10,0.80,-2,3,0,100.00%,0.80,1.00,25,25,1.00,0,#84,
,Zed,PAR,LW,LON,1/26,G,#00009,W,57,46,1.24,11,18,18,1.00,0,43.0,11,6,1.83,5,0,1,0.00%,1.10,0.60,28,22,1.27,6,#85,
,wuskin,LON,LW,PAR,1/26,G,#00009,L,56,45,1.24,11,21,19,1.11,2,67.0,7,8,0.88,-1,0,0,,0.70,0.80,28,18,1.56,10,#86,
,Rated,LON,LW,PAR,1/26,G,#00009,L,41,51,0.80,-10,17,18,0.94,-1,84.0,5,10,0.50,-5,0,1,0.00%,0.50,1.00,19,23,0.83,-4,#87,
,Skrapz,LON,LW,PAR,1/26,G,#00009,L,53,58,0.91,-5,18,26,0.69,-8,36.0,14,7,2.00,7,0,0,,1.40,0.70,21,25,0.84,-4,#88,
,Dylan,LON,LW,PAR,1/26,G,#00009,L,65,65,1.00,0,32,29,1.10,3,32.0,9,9,1.00,0,2,2,50.00%,0.90,0.90,24,27,0.89,-3,#89,
,Jurd,LON,LW,PAR,1/26,G,#00009,L,41,63,0.65,-22,17,29,0.59,-12,45.0,2,9,0.22,-7,0,5,0.00%,0.20,0.90,22,25,0.88,-3,#90,
,Arcitys,CHI,LW,OGLA,1/26,G,#00010,W,51,59,0.86,-8,26,25,1.04,1,45.0,3,5,0.60,-2,0,1,0.00%,0.38,0.63,22,29,0.76,-7,#91,
,Formal,CHI,LW,OGLA,1/26,G,#00010,W,64,51,1.25,13,23,24,0.96,-1,32.0,9,4,2.25,5,1,1,50.00%,1.13,0.50,32,23,1.39,9,#92,
,Gunless,CHI,LW,OGLA,1/26,G,#00010,W,71,71,1.00,0,35,35,1.00,0,112.0,8,5,1.60,3,0,0,,1.00,0.63,28,31,0.90,-3,#93,
,Envoy,CHI,LW,OGLA,1/26,G,#00010,W,69,60,1.15,9,37,27,1.37,10,59.0,4,5,0.80,-1,2,2,50.00%,0.50,0.63,28,28,1.00,0,#94,
,Scump,CHI,LW,OGLA,1/26,G,#00010,W,74,61,1.21,13,30,32,0.94,-2,42.0,11,3,3.67,8,1,0,100.00%,1.38,0.38,33,26,1.27,7,#95,
,Slasher,OGLA,LW,CHI,1/26,G,#00010,L,63,63,1.00,0,30,31,0.97,-1,36.0,3,8,0.38,-5,0,2,0.00%,0.38,1.00,30,24,1.25,6,#96,
,Dashy,OGLA,LW,CHI,1/26,G,#00010,L,68,63,1.08,5,37,29,1.28,8,50.0,5,6,0.83,-1,2,0,100.00%,0.63,0.75,26,28,0.93,-2,#97,
,JKap,OGLA,LW,CHI,1/26,G,#00010,L,54,67,0.81,-13,24,33,0.73,-9,59.0,4,7,0.57,-3,0,0,,0.50,0.88,26,27,0.96,-1,#98,
