,Player,Team,Event,Vs Who,Date,Group / Bracket,Map ID,Series ID,Map,Result,Kills,Death,K/D,Plus / Minus,Plants,Defuses,OpDuel Won,OpDuel Lost,OpDuel %,AtkOpD Won,AtkOpD Lost,DefOpD Won,DefOpD Lost,KpR,DpR,Rounds,Snipes,Ranking,
,Arcitys,CHI,LW,DAL,1/24,G,#00002,#00001,Arklov,L,2,6,0.33,-4,1,0,1,1,50.00%,1,1,0,0,0.29,0.86,7,,#1,
,Formal,CHI,LW,DAL,1/24,G,#00002,#00001,Arklov,L,4,7,0.57,-3,0,0,1,1,50.00%,1,0,0,1,0.57,1.00,7,,#2,
SND,Gunless,CHI,LW,DAL,1/24,G,#00002,#00001,Arklov,L,1,7,0.14,-6,1,0,0,1,0.00%,0,0,0,1,0.14,1.00,7,,#3,
,Envoy,CHI,LW,DAL,1/24,G,#00002,#00001,Arklov,L,4,5,0.80,-1,0,0,0,1,0.00%,0,0,0,1,0.57,0.71,7,,#4,
,Scump,CHI,LW,DAL,1/24,G,#00002,#00001,Arklov,L,7,5,1.40,2,0,0,0,1,0.00%,0,0,0,1,1.00,0.71,7,,#5,
,Crimsix,DAL,LW,CHI,1/24,G,#00002,#00001,Arklov,L,7,3,2.33,4,0,1,0,1,0.00%,0,0,0,1,1.00,0.43,7,,#6,
,Clayster,DAL,LW,CHI,1/24,G,#00002,#00001,Arklov,L,5,3,1.67,2,0,0,2,1,66.66%,2,0,0,1,0.71,0.43,7,,#7,
,iLLey,DAL,LW,CHI,1/24,G,#00002,#00001,Arklov,L,4,5,0.80,-1,3,0,1,0,100.00%,0,0,1,0,0.57,0.71,7,,#8,
,Huke,DAL,LW,CHI,1/24,G,#00002,#00001,Arklov,L,9,5,1.80,4,0,0,1,0,100.00%,1,0,0,0,1.29,0.71,7,,#9,
,Shotzzy,DAL,LW,CHI,1/24,G,#00002,#00001,Arklov,L,5,2,2.50,3,0,0,1,0,100.00%,1,0,0,0,0.71,0.29,7,,#10,
,Octane,SEA,LW,FL,1/24,G,#00006,#00002,Gun Runner,L,4,8,0.50,-4,0,0,1,1,50.00%,0,1,1,0,0.44,0.89,9,,#11,
,Karma,SEA,LW,FL,1/24,G,#00006,#00002,Gun Runner,L,7,9,0.78,-2,0,0,2,0,100.00%,2,0,0,0,0.78,1.00,9,,#12,
,Slacked,SEA,LW,FL,1/24,G,#00006,#00002,Gun Runner,L,6,8,0.75,-2,0,0,2,0,100.00%,0,0,2,0,0.67,0.89,9,,#13,
,Apathy,SEA,LW,FL,1/24,G,#00006,#00002,Gun Runner,L,9,6,1.50,3,0,2,1,1,50.00%,0,1,1,0,1.00,0.67,9,,#14,
,Enable,SEA,LW,FL,1/24,G,#00006,#00002,Gun Runner,L,6,6,1.00,0,2,0,1,0,100.00%,0,0,1,0,0.67,0.67,9,,#15,
,Maux,FL,LW,SEA,1/24,G,#00006,#00002,Gun Runner,W,6,6,1.00,0,1,0,1,1,50.00%,0,0,1,1,0.67,0.67,9,,#16,
,Skyz,FL,LW,SEA,1/24,G,#00006,#00002,Gun Runner,W,11,7,1.57,4,0,0,0,1,0.00%,0,1,0,0,1.22,0.78,9,,#17,
,Frosty,FL,LW,SEA,1/24,G,#00006,#00002,Gun Runner,W,7,7,1.00,0,0,0,0,1,0.00%,0,1,0,0,0.78,0.78,9,,#18,
,Havok,FL,LW,SEA,1/24,G,#00006,#00002,Gun Runner,W,7,6,1.17,1,0,0,1,1,50.00%,0,1,1,0,0.78,0.67,9,,#19,
,Prestinni,FL,LW,SEA,1/24,G,#00006,#00002,Gun Runner,W,6,6,1.00,0,1,2,0,3,0.00%,0,2,0,1,0.67,0.67,9,,#20,
,AquA,LAG,LW,MIN,1/24,G,#00011,#00003,Piccadilly,W,4,6,0.67,-2,3,0,0,2,0.00%,0,0,0,2,0.44,0.67,9,,#21,
,ACHES,LAG,LW,MIN,1/24,G,#00011,#00003,Piccadilly,W,5,6,0.83,-1,0,0,0,1,0.00%,0,0,0,1,0.56,0.67,9,,#22,
,Lacefield,LAG,LW,MIN,1/24,G,#00011,#00003,Piccadilly,W,8,6,1.33,2,0,0,2,1,66.67%,1,1,1,0,0.89,0.67,9,,#23,
,Decemate,LAG,LW,MIN,1/24,G,#00011,#00003,Piccadilly,W,9,4,2.25,5,0,0,0,0,-%,0,0,0,0,1.00,0.44,9,,#24,
,Saints,LAG,LW,MIN,1/24,G,#00011,#00003,Piccadilly,W,8,7,1.14,1,1,1,2,1,66.67%,2,1,0,0,0.89,0.78,9,,#25,
,Assault,MIN,LW,LAG,1/24,G,#00011,#00003,Piccadilly,L,10,6,1.67,4,0,0,0,0,-%,0,0,0,0,1.11,0.67,9,,#26,
,SiLLY,MIN,LW,LAG,1/24,G,#00011,#00003,Piccadilly,L,4,8,0.50,-4,0,0,1,1,50.00%,1,0,0,1,0.44,0.89,9,,#27,
,GodRx,MIN,LW,LAG,1/24,G,#00011,#00003,Piccadilly,L,10,6,1.67,4,0,1,4,0,100.00%,2,0,2,0,1.11,0.67,9,,#28,
,Alexx,MIN,LW,LAG,1/24,G,#00011,#00003,Piccadilly,L,2,7,0.29,-5,1,0,0,1,0.00%,0,1,0,0,0.22,0.78,9,,#29,
,Asim,MIN,LW,LAG,1/24,G,#00011,#00003,Piccadilly,L,3,7,0.43,-4,0,0,0,2,0.00%,0,0,0,2,0.33,0.78,9,,#30,
,wuskin,LON,LW,NY,1/25,G,#00015,#00004,Piccadilly,W,11,3,3.67,8,0,1,3,0,100.00%,2,0,1,0,1.38,0.38,8,,#31,
,Rated,LON,LW,NY,1/25,G,#00015,#00004,Piccadilly,W,3,5,0.60,-2,2,0,0,1,0.00%,0,0,0,1,0.38,0.63,8,,#32,
,Skrapz,LON,LW,NY,1/25,G,#00015,#00004,Piccadilly,W,3,5,0.60,-2,0,0,0,1,0.00%,0,1,0,0,0.38,0.63,8,,#33,
,Dylan,LON,LW,NY,1/25,G,#00015,#00004,Piccadilly,W,8,6,1.33,2,1,0,1,2,33.33%,1,0,0,2,1.00,0.75,8,,#34,
,Jurd,LON,LW,NY,1/25,G,#00015,#00004,Piccadilly,W,7,6,1.17,1,0,0,0,0,-%,0,0,0,0,0.88,0.75,8,,#35,
,Accuracy,NY,LW,LON,1/25,G,#00015,#00004,Piccadilly,L,1,7,0.14,-6,1,0,0,2,0.00%,0,0,0,2,0.13,0.88,8,,#36,
,Zer0,NY,LW,LON,1/25,G,#00015,#00004,Piccadilly,L,2,6,0.33,-4,0,0,1,0,100.00%,1,0,0,0,0.25,0.75,8,,#37,
,Attach,NY,LW,LON,1/25,G,#00015,#00004,Piccadilly,L,4,6,0.67,-2,0,0,0,1,0.00%,0,0,0,1,0.50,0.75,8,,#38,
,Temp,NY,LW,LON,1/25,G,#00015,#00004,Piccadilly,L,6,6,1.00,0,1,0,0,1,0.00%,0,1,0,0,0.75,0.75,8,,#39,
,ZooMaa,NY,LW,LON,1/25,G,#00015,#00004,Piccadilly,L,12,7,1.71,5,0,0,3,0,100.00%,2,0,1,0,1.50,0.88,8,,#40,
,Methodz,TOR,LW,SEA,1/25,G,#00018,#00005,Gun Runner,W,8,3,2.67,5,0,0,0,0,-%,0,0,0,0,1.00,0.38,8,,#41,
,Cammy,TOR,LW,SEA,1/25,G,#00018,#00005,Gun Runner,W,4,6,0.67,-2,0,0,0,2,0.00%,0,1,0,1,0.50,0.75,8,,#42,
,MeTTalZz,TOR,LW,SEA,1/25,G,#00018,#00005,Gun Runner,W,9,6,1.50,3,0,1,3,1,75.00%,2,0,1,1,1.13,0.75,8,,#43,
,Loony,TOR,LW,SEA,1/25,G,#00018,#00005,Gun Runner,W,5,5,1.00,0,2,0,0,1,0.00%,0,1,0,0,0.63,0.63,8,,#44,
,Classic,TOR,LW,SEA,1/25,G,#00018,#00005,Gun Runner,W,8,5,1.60,3,1,0,1,0,100.00%,1,0,0,0,1.00,0.63,8,,#45,
,Octane,SEA,LW,TOR,1/25,G,#00018,#00005,Gun Runner,L,8,7,1.14,1,0,0,0,0,-%,0,0,0,0,1.00,0.88,8,,#46,
,Karma,SEA,LW,TOR,1/25,G,#00018,#00005,Gun Runner,L,7,7,1.00,0,1,0,0,0,-%,0,0,0,0,0.88,0.88,8,,#47,
,Slacked,SEA,LW,TOR,1/25,G,#00018,#00005,Gun Runner,L,4,7,0.57,-3,0,0,3,0,100.00%,1,0,2,0,0.50,0.88,8,,#48,
,Apathy,SEA,LW,TOR,1/25,G,#00018,#00005,Gun Runner,L,5,6,0.83,-1,0,1,1,2,33.33%,1,0,0,2,0.63,0.75,8,,#49,
,Enable,SEA,LW,TOR,1/25,G,#00018,#00005,Gun Runner,L,1,7,0.14,-6,1,0,0,2,0.00%,0,1,0,1,0.13,0.88,8,,#50,
,AquA,LAG,LW,FL,1/25,G,#00023,#00006,Gun Runner,W,9,7,1.29,2,0,0,1,1,50.00%,1,0,0,1,0.82,0.64,11,,#51,
,ACHES,LAG,LW,FL,1/25,G,#00023,#00006,Gun Runner,W,5,9,0.56,-4,1,0,1,2,33.33%,1,0,0,2,0.45,0.82,11,,#52,
,Lacefield,LAG,LW,FL,1/25,G,#00023,#00006,Gun Runner,W,9,6,1.50,3,0,1,1,0,100.00%,1,0,0,0,0.82,0.55,11,,#53,
,Decemate,LAG,LW,FL,1/25,G,#00023,#00006,Gun Runner,W,6,9,0.67,-3,0,0,2,0,100.00%,1,0,1,0,0.55,0.82,11,,#54,
,Saints,LAG,LW,FL,1/25,G,#00023,#00006,Gun Runner,W,10,9,1.11,1,1,0,2,1,66.67%,2,0,0,1,0.91,0.82,11,,#55,
,Maux,FL,LW,LAG,1/25,G,#00023,#00006,Gun Runner,L,9,7,1.29,2,2,0,2,0,100.00%,2,0,0,0,0.82,0.64,11,,#56,
,Skyz,FL,LW,LAG,1/25,G,#00023,#00006,Gun Runner,L,10,8,1.25,2,1,0,0,3,0.00%,0,0,0,3,0.91,0.73,11,,#57,
,Frosty,FL,LW,LAG,1/25,G,#00023,#00006,Gun Runner,L,11,8,1.38,3,0,0,1,0,100.00%,1,0,0,0,1.00,0.73,11,,#58,
,Havok,FL,LW,LAG,1/25,G,#00023,#00006,Gun Runner,L,3,8,0.38,-5,0,0,1,2,33.33%,1,1,0,1,0.27,0.73,11,,#59,
,Prestinni,FL,LW,LAG,1/25,G,#00023,#00006,Gun Runner,L,7,8,0.88,-1,0,0,0,2,0.00%,0,0,0,2,0.64,0.73,11,,#60,
,Slasher,OGLA,LW,PAR,1/25,G,#00028,#00007,Arklov,W,10,5,2.00,5,0,0,2,0,100.00%,1,0,1,0,1.43,0.71,7,,#61,
,Dashy,OGLA,LW,PAR,1/25,G,#00028,#00007,Arklov,W,6,4,1.50,2,0,1,0,1,0.00%,0,1,0,0,0.86,0.57,7,,#62,
,JKap,OGLA,LW,PAR,1/25,G,#00028,#00007,Arklov,W,6,5,1.20,1,0,0,0,0,-%,0,0,0,0,0.86,0.71,7,,#63,
,Kenny,OGLA,LW,PAR,1/25,G,#00028,#00007,Arklov,W,6,4,1.50,2,0,0,1,1,50.00%,0,1,1,0,0.86,0.57,7,,#64,
,TJHaly,OGLA,LW,PAR,1/25,G,#00028,#00007,Arklov,W,4,5,0.80,-1,0,0,0,2,0.00%,0,1,0,1,0.57,0.71,7,,#65,
,Denz,PAR,LW,OGLA,1/25,G,#00028,#00007,Arklov,L,2,7,0.29,-5,0,0,1,1,50.00%,0,1,1,0,0.29,1.00,7,,#66,
,Shockz,PAR,LW,OGLA,1/25,G,#00028,#00007,Arklov,L,6,6,1.00,0,0,0,1,0,100.00%,0,0,1,0,0.86,0.86,7,,#67,
,Louqa,PAR,LW,OGLA,1/25,G,#00028,#00007,Arklov,L,4,7,0.57,-3,0,0,1,0,100.00%,1,0,0,0,0.57,1.00,7,,#68,
,KiSMET,PAR,LW,OGLA,1/25,G,#00028,#00007,Arklov,L,5,6,0.83,-1,0,0,0,1,0.00%,0,0,0,1,0.71,0.86,7,,#69,
,Zed,PAR,LW,OGLA,1/25,G,#00028,#00007,Arklov,L,6,6,1.00,0,1,0,1,1,50.00%,0,1,1,0,0.86,0.86,7,,#70,
,Crimsix,DAL,LW,ATL,1/25,G,#00033,#00008,Arklov,L,4,6,0.67,-2,0,0,0,1,0.00%,0,0,0,1,0.67,1.00,6,,#71,
,Clayster,DAL,LW,ATL,1/25,G,#00033,#00008,Arklov,L,1,6,0.17,-5,0,0,0,1,0.00%,0,1,0,0,0.17,1.00,6,,#72,
,iLLey,DAL,LW,ATL,1/25,G,#00033,#00008,Arklov,L,2,6,0.33,-4,0,0,0,2,0.00%,0,1,0,1,0.33,1.00,6,,#73,
,Huke,DAL,LW,ATL,1/25,G,#00033,#00008,Arklov,L,2,6,0.33,-4,0,0,0,2,0.00%,0,1,0,1,0.33,1.00,6,,#74,
,Shotzzy,DAL,LW,ATL,1/25,G,#00033,#00008,Arklov,L,3,6,0.50,-3,0,0,0,0,-%,0,0,0,0,0.50,1.00,6,,#75,
,Cellium,ATL,LW,DAL,1/25,G,#00033,#00008,Arklov,W,6,2,3.00,4,0,0,1,0,100.00%,1,0,0,0,1.00,0.33,6,,#76,
,MajorManiak,ATL,LW,DAL,1/25,G,#00033,#00008,Arklov,W,6,1,6.00,5,0,0,1,0,100.00%,1,0,0,0,1.00,0.17,6,,#77,
,Priestahh,ATL,LW,DAL,1/25,G,#00033,#00008,Arklov,W,6,4,1.50,2,1,0,2,0,100.00%,0,0,2,0,1.00,0.67,6,,#78,
,aBeZy,ATL,LW,DAL,1/25,G,#00033,#00008,Arklov,W,5,4,1.25,1,0,0,1,0,100.00%,1,0,0,0,0.83,0.67,6,,#79,
,Simp,ATL,LW,DAL,1/25,G,#00033,#00008,Arklov,W,7,1,7.00,6,1,0,1,0,100.00%,0,0,1,0,1.17,0.17,6,,#80,
,Denz,PAR,LW,LON,1/26,G,#00036,#00009,Arklov,W,7,6,1.17,1,0,0,2,0,100.00%,1,0,1,0,0.70,0.60,10,,#81,
,Shockz,PAR,LW,LON,1/26,G,#00036,#00009,Arklov,W,7,7,1.00,0,0,0,2,1,66.67%,0,1,2,0,0.70,0.70,10,,#82,
,Louqa,PAR,LW,LON,1/26,G,#00036,#00009,Arklov,W,10,8,1.25,2,0,1,1,0,100.00%,1,0,0,0,1.00,0.80,10,,#83,
,KiSMET,PAR,LW,LON,1/26,G,#00036,#00009,Arklov,W,8,10,0.80,-2,1,0,3,0,100.00%,1,0,2,0,0.80,1.00,10,,#84,
,Zed,PAR,LW,LON,1/26,G,#00036,#00009,Arklov,W,11,6,1.83,5,3,0,0,1,0.00%,0,1,0,0,1.10,0.60,10,,#85,
,wuskin,LON,LW,PAR,1/26,G,#00036,#00009,Arklov,L,7,8,0.88,-1,0,0,0,0,-%,0,0,0,0,0.70,0.80,10,,#86,
,Rated,LON,LW,PAR,1/26,G,#00036,#00009,Arklov,L,5,10,0.50,-5,1,0,0,1,0.00%,0,0,0,1,0.50,1.00,10,,#87,
,Skrapz,LON,LW,PAR,1/26,G,#00036,#00009,Arklov,L,14,7,2.00,7,1,1,0,0,-%,0,0,0,0,1.40,0.70,10,,#88,
,Dylan,LON,LW,PAR,1/26,G,#00036,#00009,Arklov,L,9,9,1.00,0,0,0,2,2,50.00%,0,2,2,0,0.90,0.90,10,,#89,
,Jurd,LON,LW,PAR,1/26,G,#00036,#00009,Arklov,L,2,9,0.22,-7,0,0,0,5,0.00%,0,3,0,2,0.20,0.90,10,,#90,
,Arcitys,CHI,LW,OGLA,1/26,G,#00039,#00010,Piccadilly,W,3,5,0.60,-2,0,0,0,1,0.00%,0,1,0,0,0.38,0.63,8,,#91,
,Formal,CHI,LW,OGLA,1/26,G,#00039,#00010,Piccadilly,W,9,4,2.25,5,0,0,1,1,50.00%,0,1,1,0,1.13,0.50,8,,#92,
,Gunless,CHI,LW,OGLA,1/26,G,#00039,#00010,Piccadilly,W,8,5,1.60,3,2,0,0,0,-%,0,0,0,0,1.00,0.63,8,,#93,
,Envoy,CHI,LW,OGLA,1/26,G,#00039,#00010,Piccadilly,W,4,5,0.80,-1,0,0,2,2,50.00%,0,1,2,1,0.50,0.63,8,,#94,
,Scump,CHI,LW,OGLA,1/26,G,#00039,#00010,Piccadilly,W,11,3,3.67,8,0,1,1,0,100.00%,1,0,0,0,1.38,0.38,8,,#95,
,Slasher,OGLA,LW,CHI,1/26,G,#00039,#00010,Piccadilly,L,3,8,0.38,-5,0,0,0,2,0.00%,0,2,0,0,0.38,1.00,8,,#96,
,Dashy,OGLA,LW,CHI,1/26,G,#00039,#00010,Piccadilly,L,5,6,0.83,-1,1,0,2,0,100.00%,1,0,1,0,0.63,0.75,8,,#97,
,JKap,OGLA,LW,CHI,1/26,G,#00039,#00010,Piccadilly,L,4,7,0.57,-3,0,0,0,0,-%,0,0,0,0,0.50,0.88,8,,#98,
,Kenny,OGLA,LW,CHI,1/26,G,#00039,#00010,Piccadilly,L,5,6,0.83,-1,0,0,0,1,0.00%,0,0,0,1,0.63,0.75,8,,#99,
,TJHaly,OGLA,LW,CHI,1/26,G,#00039,#00010,Piccadilly,L,4,8,0.50,-4,0,0,2,1,66.67%,0,1,2,0,0.50,1.00,8,,#100,
,Accuracy,NY,LW,ATL,1/26,G,#00042,#00011,Piccadilly,L,2,6,0.33,-4,1,0,0,0,-%,0,0,0,0,0.33,1.00,6,,#101,
,Zer0,NY,LW,ATL,1/26,G,#00042,#00011,Piccadilly,L,3,6,0.50,-3,0,0,1,0,100.00%,1,0,0,0,0.50,1.00,6,,#102,
,Attach,NY,LW,ATL,1/26,G,#00042,#00011,Piccadilly,L,0,6,0.00,-6,0,0,0,1,0.00%,0,0,0,1,0.00,1.00,6,,#103,
,Temp,NY,LW,ATL,1/26,G,#00042,#00011,Piccadilly,L,1,6,0.17,-5,0,0,0,2,0.00%,0,1,0,1,0.17,1.00,6,,#104,
,ZooMaa,NY,LW,ATL,1/26,G,#00042,#00011,Piccadilly,L,0,6,0.00,-6,0,0,0,2,0.00%,0,1,0,1,0.00,1.00,6,,#105,
,Cellium,ATL,LW,NY,1/26,G,#00042,#00011,Piccadilly,W,4,0,,4,0,0,0,0,-%,0,0,0,0,0.67,0.00,6,,#106,
,MajorManiak,ATL,LW,NY,1/26,G,#00042,#00011,Piccadilly,W,8,0,,8,0,0,1,0,100.00%,1,0,0,0,1.33,0.00,6,,#107,
,Priestahh,ATL,LW,NY,1/26,G,#00042,#00011,Piccadilly,W,9,2,4.50,7,0,0,3,0,100.00%,1,0,2,0,1.50,0.33,6,,#108,
,aBeZy,ATL,LW,NY,1/26,G,#00042,#00011,Piccadilly,W,2,3,0.67,-1,0,0,1,1,50.00%,1,0,0,1,0.33,0.50,6,,#109,
,Simp,ATL,LW,NY,1/26,G,#00042,#00011,Piccadilly,W,6,1,6.00,5,0,1,0,0,-%,0,0,0,0,1.00,0.17,6,,#110,
,Assault,MIN,LW,TOR,1/26,G,#00046,#00012,Rammaza,L,9,8,1.13,1,0,0,0,0,-%,0,0,0,0,1.00,0.89,9,,#111,
,SiLLY,MIN,LW,TOR,1/26,G,#00046,#00012,Rammaza,L,4,7,0.57,-3,0,0,0,0,-%,0,0,0,0,0.44,0.78,9,,#112,
,GodRx,MIN,LW,TOR,1/26,G,#00046,#00012,Rammaza,L,3,7,0.43,-4,1,0,2,1,66.67%,1,1,1,0,0.33,0.78,9,,#113,
,Alexx,MIN,LW,TOR,1/26,G,#00046,#00012,Rammaza,L,7,6,1.17,1,0,0,1,2,33.33%,0,2,1,0,0.78,0.67,9,,#114,
,Asim,MIN,LW,TOR,1/26,G,#00046,#00012,Rammaza,L,3,9,0.33,-6,0,0,1,2,33.33%,1,1,0,1,0.33,1.00,9,,#115,
,Methodz,TOR,LW,MIN,1/26,G,#00046,#00012,Rammaza,W,6,5,1.20,1,0,0,0,0,-%,0,0,0,0,0.67,0.56,9,,#116,
,Cammy,TOR,LW,MIN,1/26,G,#00046,#00012,Rammaza,W,5,6,0.83,-1,0,0,2,1,66.67%,0,1,2,0,0.56,0.67,9,,#117,
,MeTTalZz,TOR,LW,MIN,1/26,G,#00046,#00012,Rammaza,W,6,6,1.00,0,0,0,1,2,33.33%,0,2,1,0,0.67,0.67,9,,#118,
,Loony,TOR,LW,MIN,1/26,G,#00046,#00012,Rammaza,W,4,5,0.80,-1,0,1,0,0,-%,0,0,0,0,0.44,0.56,9,,#119,
,Classic,TOR,LW,MIN,1/26,G,#00046,#00012,Rammaza,W,16,5,3.20,11,0,0,2,1,66.67%,1,0,1,1,1.78,0.56,9,,#120,
,Octane,SEA,LW,FL,1/24,G,#00009,#00002,Rammaza,L,1,6,0.17,-5,0,0,1,2,33.33%,1,2,0,0,0.17,1.00,6,,#121,
,Karma,SEA,LW,FL,1/24,G,#00009,#00002,Rammaza,L,5,6,0.83,-1,0,0,2,0,100.00%,0,0,2,0,0.83,1.00,6,,#122,
,Slacked,SEA,LW,FL,1/24,G,#00009,#00002,Rammaza,L,5,6,0.83,-1,0,0,0,0,-%,0,0,0,0,0.83,1.00,6,,#123,
